name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Durelli Guido Federico,63,🇮🇹 (Italy),636,40-44,https://utmb.world/en/runner/1555465.guidofederico.durelli,Guido Federico DURELLI
Holzer Gerhard,290,🇮🇹 (Italy),636,50-54,https://utmb.world/en/runner/442090.gerhard.holzer,Gerhard HOLZER
Loher Christian,153,🇩🇪 (Germany),628,35-39,https://utmb.world/en/runner/3311693.christian.loher,Christian LOHER
Jutz Joachim,120,🇩🇪 (Germany),627,45-49,https://utmb.world/en/runner/4277458.joachim.jutz,Joachim JUTZ
Lappenbusch Max,148,🇩🇪 (Germany),627,35-39,https://utmb.world/en/runner/3317761.max.lappenbusch,Max LAPPENBUSCH
Jiřík Martin,119,🇨🇿 (Czech Republic),625,45-49,https://utmb.world/en/runner/1114751.martin.jirik,Martin JIRIK
Glück Quirin,88,🇩🇪 (Germany),624,20-34,https://utmb.world/en/runner/4572342.quirin.gluck,Quirin GLÜCK
Mancabelli Alberto,161,🇮🇹 (Italy),624,20-34,https://utmb.world/en/runner/880529.alberto.mancabelli,Alberto MANCABELLI
Penasa Mattia,189,🇮🇹 (Italy),624,35-39,https://utmb.world/en/runner/3337045.mattia.penasa,Mattia PENASA
Reichl Jonathan,211,🇩🇪 (Germany),623,20-34,https://utmb.world/en/runner/2593687.jonathan.reichl,Jonathan REICHL
Rambla Patrick,206,🇩🇪 (Germany),622,20-34,https://utmb.world/en/runner/5551825.patrick.rambla,Patrick RAMBLA
Himbert Fabian,103,🇩🇪 (Germany),617,20-34,https://utmb.world/en/runner/5305536.fabian.himbert,Fabian HIMBERT
Zanei Lorenzo,277,🇮🇹 (Italy),614,40-44,https://utmb.world/en/runner/1551985.lorenzo.zanei,Lorenzo ZANEI
Lohr Wolfgang,155,🇩🇪 (Germany),610,55-59,https://utmb.world/en/runner/424290.wolfgang.lohr,Wolfgang LOHR
Dallago Loris,210,🇮🇹 (Italy),609,45-49,https://utmb.world/en/runner/3736183.loris.dallago,Loris DALLAGO
Cavallari Morgan,47,🇮🇹 (Italy),608,20-34,https://utmb.world/en/runner/4562520.fabio.cavallari,Fabio CAVALLARI
Zani Francesco,278,🇮🇹 (Italy),608,40-44,https://utmb.world/en/runner/4484578.francesco.zani,Francesco ZANI
Tietmeyer Daniel,298,🇩🇪 (Germany),607,20-34,https://utmb.world/en/runner/5444002.daniel.tietmeyer,Daniel TIETMEYER
Götschl Stefan,91,🇩🇪 (Germany),605,35-39,https://utmb.world/en/runner/4248815.stefan.gotschl,Stefan GÖTSCHL
Innerhofer Christian,116,🇮🇹 (Italy),603,40-44,https://utmb.world/en/runner/3308343.christian.innerhofer,Christian INNERHOFER
Plötz Alexander,196,🇩🇪 (Germany),603,50-54,https://utmb.world/en/runner/4002545.alexander.plotz,Alexander PLÖTZ
Schnitzer Franz,232,🇮🇹 (Italy),603,45-49,https://utmb.world/en/runner/4695892.armin.schwitzer,Armin SCHWITZER
Scharl Alexander,115,🇩🇪 (Germany),602,40-44,https://utmb.world/en/runner/3035867.alexander.scharl,Alexander SCHARL
Breitenberger Michael Quirin,39,🇮🇹 (Italy),601,40-44,https://utmb.world/en/runner/4417948.michaelquirin.breitenberger,Michael Quirin BREITENBERGER
Feurstein Kilian,73,🇦🇹 (Austria),601,20-34,https://utmb.world/en/runner/5305228.matthias.feurstein,Matthias FEURSTEIN
Hoff Christian,105,🇩🇪 (Germany),601,40-44,https://utmb.world/en/runner/3343217.christian.hoff,Christian HOFF
Unterthurner Markus,258,🇮🇹 (Italy),599,45-49,https://utmb.world/en/runner/1551809.markus.unterthurner,Markus UNTERTHURNER
Flür Georg,75,🇦🇹 (Austria),598,55-59,https://utmb.world/en/runner/5234324.georg.flur,Georg FLÜR
Ehrmeier Stefan,66,🇩🇪 (Germany),597,35-39,https://utmb.world/en/runner/4046708.stefan.ehrmeier,Stefan EHRMEIER
Poletti Manuel,293,🇮🇹 (Italy),596,35-39,https://utmb.world/en/runner/3337067.manuel.poletti,Manuel POLETTI
Depaoli Denis,188,🇮🇹 (Italy),591,40-44,https://utmb.world/en/runner/4150958.denis.depaoli,Denis DE PAOLI
Claes Frederik,7265,🇧🇪 (Belgium),589,20-34,https://utmb.world/en/runner/4465726.frederik.claes,Frederik CLAES
Riesterer Christoph,215,🇩🇪 (Germany),588,35-39,https://utmb.world/en/runner/4701530.christoph.riesterer,Christoph RIESTERER
Schünke Kevin,234,🇩🇪 (Germany),586,20-34,https://utmb.world/en/runner/5582212.kevin.schunke,Kevin SCHÜNKE
Volgger Patrick,265,🇮🇹 (Italy),585,50-54,https://utmb.world/en/runner/81119.manfred.volgger,Manfred VOLGGER
Pagnussat Gilles,294,🇮🇹 (Italy),578,40-44,https://utmb.world/en/runner/946567.gilles.pagnussat,Gilles PAGNUSSAT
Pezzangora Andrea,7263,🇮🇹 (Italy),577,55-59,https://utmb.world/en/runner/204102.andrea.pezzangora,Andrea PEZZANGORA
Roth Matthias,220,🇩🇪 (Germany),574,45-49,https://utmb.world/en/runner/63431.matthias.roth,Matthias ROTH
Pedrotti Jonathan,186,🇮🇹 (Italy),573,20-34,https://utmb.world/en/runner/3234783.jonathan.pedrotti,Jonathan PEDROTTI
Perugini Pietro,279,🇮🇹 (Italy),573,40-44,https://utmb.world/en/runner/490797.pietro.perugini,Pietro PERUGINI
Pettinari Giuseppe Luca,190,🇮🇹 (Italy),572,55-59,https://utmb.world/en/runner/727208.giuseppeluca.pettinari,Giuseppe-Luca PETTINARI
Valersi Andreas,259,🇦🇹 (Austria),572,45-49,https://utmb.world/en/runner/876227.andreas.valersi,Andreas VALERSI
Cella Alan,48,🇮🇹 (Italy),570,20-34,https://utmb.world/en/runner/3450147.alan.cella,Alan CELLA
Boscheri Ewald,36,🇮🇹 (Italy),569,35-39,https://utmb.world/en/runner/3013833.ewald.boscheri,Ewald BOSCHERI
Avi Marcello,289,🇮🇹 (Italy),567,50-54,https://utmb.world/en/runner/309081.marcello.avi,Marcello AVI
Facchini Alex,71,🇮🇹 (Italy),567,60-64,https://utmb.world/en/runner/60182.raffaele.facchini,Raffaele FACCHINI
Heckelsmüller Thomas,100,🇩🇪 (Germany),566,50-54,https://utmb.world/en/runner/63146.thomas.heckelsmuller,Thomas HECKELSMÜLLER
Waldner Mirko,266,🇮🇹 (Italy),565,35-39,https://utmb.world/en/runner/881763.mirko.waldner,Mirko WALDNER
